model,task,learning_index,convergence_trial,asymptotic_performance,sample_efficiency,wall_time_min
cadex,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,4.0
cadex,T2_PatternCompletion,0.6940,9,0.6000,0.8800,1.5
cadex,T3_SequencePrediction,0.9730,9,1.0000,1.0000,3.6
cadex,T4_IntervalTiming,0.7166,9,0.5717,0.7438,8.5
cadex,T5_DelayMatchToSample,0.6370,37,0.5750,0.5250,7.3
cadex,T6_NBack,0.8750,47,0.9375,0.7075,8.7
lif,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,3.1
lif,T2_PatternCompletion,0.7240,9,0.5667,0.8800,1.3
lif,T3_SequencePrediction,0.9730,9,1.0000,1.0000,3.1
lif,T4_IntervalTiming,0.6861,15,0.5917,0.6012,5.8
lif,T5_DelayMatchToSample,0.5020,37,0.3250,0.4750,6.0
lif,T6_NBack,0.8198,9,0.7250,0.8200,8.1
lsm,T1_ClassicalConditioning,0.4365,9,0.0000,0.7500,2.5
lsm,T2_PatternCompletion,0.1900,9,0.2000,0.7333,1.1
lsm,T3_SequencePrediction,0.0000,9,0.0000,0.6667,2.5
lsm,T4_IntervalTiming,0.5376,71,0.5650,0.4854,51.7
lsm,T5_DelayMatchToSample,0.5020,37,0.3250,0.4750,5.1
lsm,T6_NBack,0.7840,16,0.7250,0.6675,6.2
