model,task,learning_index,convergence_trial,asymptotic_performance,sample_efficiency,wall_time_min
cadex,T1_ClassicalConditioning,0.7300,9,1.0000,1.0000,0.2
cadex,T2_PatternCompletion,0.6567,9,0.4444,0.7778,0.4
cadex,T3_SequencePrediction,0.7000,9,1.0000,1.0000,0.2
cadex,T4_IntervalTiming,0.5000,13,0.7150,0.5123,1.4
cadex,T5_DelayMatchToSample,0.3700,10,0.5000,0.6000,0.4
cadex,T6_NBack,0.2650,18,0.2500,0.5500,0.5
lif,T1_ClassicalConditioning,0.7300,9,1.0000,1.0000,0.2
lif,T2_PatternCompletion,0.7500,9,0.5556,0.7778,0.4
lif,T3_SequencePrediction,0.0000,9,0.0000,0.6667,0.2
lif,T4_IntervalTiming,0.3730,15,0.5150,0.5777,1.1
lif,T5_DelayMatchToSample,0.3700,10,0.5000,0.6000,0.3
lif,T6_NBack,0.2750,18,0.2500,0.6000,0.4
lsm,T1_ClassicalConditioning,0.1900,9,0.0000,0.8000,0.1
lsm,T2_PatternCompletion,0.2333,9,0.5556,0.5556,0.3
lsm,T3_SequencePrediction,0.0000,9,0.0000,0.6667,0.1
lsm,T4_IntervalTiming,0.3408,15,0.4817,0.4997,0.6
lsm,T5_DelayMatchToSample,0.3700,10,0.5000,0.6000,0.2
lsm,T6_NBack,0.2650,18,0.2500,0.5500,0.3
