model,task,learning_index,convergence_trial,asymptotic_performance,sample_efficiency,wall_time_min
cadex,T1_ClassicalConditioning,0.7300,9,1.0000,1.0000,0.2
cadex,T2_PatternCompletion,0.2333,9,0.2222,0.5556,0.4
cadex,T3_SequencePrediction,0.3500,9,0.5000,0.8333,0.2
cadex,T4_IntervalTiming,0.0484,15,0.0468,0.1250,0.7
cadex,T5_DelayMatchToSample,0.3700,10,0.5000,0.6000,0.3
cadex,T6_NBack,0.2550,18,0.2500,0.5000,0.4
lif,T1_ClassicalConditioning,0.1900,9,0.0000,0.8000,0.1
lif,T2_PatternCompletion,0.2333,9,0.5556,0.5556,0.3
lif,T3_SequencePrediction,0.0000,9,0.0000,0.6667,0.1
lif,T4_IntervalTiming,0.5667,15,1.0000,0.3333,0.5
lif,T5_DelayMatchToSample,0.3700,10,0.5000,0.6000,0.3
lif,T6_NBack,0.2650,18,0.2500,0.5500,0.3
lsm,T1_ClassicalConditioning,0.1900,9,0.0000,0.8000,0.1
lsm,T2_PatternCompletion,0.2333,9,0.5556,0.5556,0.2
lsm,T3_SequencePrediction,0.0000,9,0.0000,0.6667,0.1
lsm,T4_IntervalTiming,0.5667,15,1.0000,0.3333,0.5
lsm,T5_DelayMatchToSample,0.3700,10,0.5000,0.6000,0.2
lsm,T6_NBack,0.2650,18,0.2500,0.5500,0.2
